,Robot,Traditional_Scoring_High,Traditional_Scoring_Low,Technical_Scoring,Autonomous_Scoring,Endgame,Fouls,Defense,Competition,Year
163,frc6447,0.06794258373205743,0.056426332288401264,0.9766899766899767,0.45757790825214534,0.3341523341523342,0.815068493150685,0.36116330365166255,2017ausp,2017
164,frc6575,0.0708133971291866,0.07523510971786834,0.9766899766899767,0.28453448609587717,0.29238329238329236,0.05821917808219169,0.5403153337145655,2017ausp,2017
165,frc144,0.09743062692702982,0.0,1.0,0.83227899432279,0.8145833333333333,0.8625,0.8808317624882186,2017arc,2017
166,frc2220,0.10359712230215828,0.0,1.0,0.6460665044606649,0.8145833333333333,0.8625,0.8327639019792649,2017arc,2017
167,frc1111,0.008633093525179858,0.0,1.0,0.7255474452554744,0.85,0.8166666666666667,0.7967130065975493,2017arc,2017
168,frc2338,0.15786228160328883,0.0,1.0,0.5643146796431467,0.85,0.5874999999999999,0.74063383600377,2017arc,2017
169,frc5847,0.0967665428097083,0.0,1.0,0.8533283423794373,0.9535256410256409,0.17147435897435892,0.4034655259914449,2017arc,2017
170,frc1987,0.05881887896276387,0.0,1.0,0.9074801921517249,0.9262820512820512,0.3301282051282052,0.2347658232436737,2017arc,2017
171,frc1075,0.14922918807810895,0.0,1.0,0.8231954582319546,0.8854166666666665,0.725,0.8618049010367578,2017arc,2017
172,frc1810,0.12579650565262077,0.0,1.0,0.6971613949716139,0.8854166666666665,0.7479166666666667,0.7436380772855795,2017arc,2017
173,frc4464,0.1011305241521069,0.0,1.0,0.8390916463909166,0.8854166666666665,0.65625,0.5884189443920826,2017arc,2017
174,frc4926,0.21336073997944507,0.0,1.0,0.6960259529602595,0.8854166666666665,0.8854166666666666,0.6444981149858624,2017arc,2017
175,frc1721,0.2219938335046249,0.0,1.0,0.7743714517437146,0.9208333333333333,0.47291666666666665,0.6334825636192268,2017arc,2017
176,frc2977,0.06289825282631038,0.0,1.0,0.8890510948905108,0.9208333333333333,0.6104166666666666,0.7786875589066916,2017arc,2017
177,frc3793,0.06289825282631038,0.0,1.0,0.3020275750202758,0.9208333333333333,0.5874999999999999,0.7596606974552308,2017arc,2017
