year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
2018,2018wapp,2018wapp_qm2,qm2,232,349,0,1,0.4262922540548734,0.8796977124183005,0.7196869488536155,0.7459996404171161,0.42635658914728675,0.7477477477477478,0.5110045408210546,0.7898666060330454,0.8914274042950513,0.9737024439405392,0.876393383674937,0.6253229974160207,0.7458172458172458,0.8024974515800204
2017,2017onosh,2017onosh_qf4m1,qf4m1,235,235,0,0,0.0,0.0,1.0,0.20000000000000004,0.8333333333333334,1.0,0.7836734693877546,0.0,0.9183673469387758,1.0,0.8688888888888892,0.625,0.6078431372549019,0.6460641399416908
2019,2019njtab,2019njtab_f1m1,f1m1,75,51,1,0,1.0,1.0,0.8914285714285711,1.0,0.4166666666666667,0.9714285714285714,0.7666195190947668,0.48125,0.8749999999999999,0.6999999999999998,0.9250000000000002,0.4895833333333333,0.3125,0.3910891089108907
2019,2019arc,2019arc_sf2m2,sf2m2,88,86,1,0,0.48214285714285715,0.875,0.6703296703296703,1.0,0.619047619047619,0.8571428571428572,0.9278033794162827,0.47500000000000003,0.8916666666666666,0.7384615384615385,1.0,0.5833333333333334,0.8666666666666667,0.9519713261648745
2019,2019mdbb,2019mdbb_qf1m1,qf1m1,50,84,0,1,0.0,0.5869565217391304,0.8297872340425533,1.0,0.3,0.0,0.0,0.44999999999999996,1.0,0.5319148936170214,1.0,0.5166666666666667,0.8888888888888888,1.0
2019,2019necmp,2019necmp_qf1m1,qf1m1,60,99,0,1,0.34146341463414637,0.38095238095238093,0.5666666666666665,1.0,0.5416666666666666,0.25,0.4857142857142856,0.8536585365853658,0.8571428571428571,0.75,0.9499999999999998,0.4583333333333333,0.6875,0.8500000000000002
2018,2018txel,2018txel_f1m1,f1m1,230,437,0,1,0.1876788098416937,0.9790940766550523,0.9200139713587147,1.0,0.2380952380952381,0.0,0.33507921958884385,1.0,0.9878048780487805,1.0,0.9533073929961088,0.40740740740740744,0.4641975308641976,1.0
2018,2018wowcmp,2018wowcmp_f1m1,f1m1,242,423,0,1,0.6503481288076589,0.9019607843137255,0.8525252525252526,0.8968253968253969,0.48148148148148145,0.5416666666666667,0.8165645960921551,1.0,0.9842436974789915,0.6735930735930736,1.0,0.5396825396825397,0.7142857142857144,1.0
2019,2019qcmo,2019qcmo_qf3m1,qf3m1,52,61,0,1,0.15789473684210528,0.7333333333333333,0.6666666666666666,0.8000000000000002,0.25,0.6666666666666666,0.7709497206703911,0.15789473684210528,0.6,0.625,1.0,0.5,0.75,0.91340782122905
2018,2018marc,2018marc_qm46,qm46,448,186,1,0,0.26648959716688797,0.6740196078431372,0.6708812260536399,0.4671717171717171,0.6666666666666666,0.2777777777777778,0.30906274206041834,0.2549800796812749,0.7555147058823529,0.5660919540229885,0.41098484848484845,0.23611111111111113,0.4583333333333333,0.19597211463981412
