,year,competition,match,mtype,bscore,rscore,blue_won,red_won,Blue_Traditional_Scoring_High,Blue_Traditional_Scoring_Low,Blue_Technical_Scoring,Blue_Autonomous_Scoring,Blue_Endgame,Blue_Fouls,Blue_Defense,Red_Traditional_Scoring_High,Red_Traditional_Scoring_Low,Red_Technical_Scoring,Red_Autonomous_Scoring,Red_Endgame,Red_Fouls,Red_Defense
385,2017,2017cmptx,2017cmptx_sf1m3,sf1m3,473,445,1,0,0.7806122448979592,0.7142857142857143,1.0,0.9468131868131868,0.9047619047619048,0.0,0.2768891340319905,0.0,0.01,1.0,0.6830769230769231,0.9333333333333332,0.7958333333333334,1.0
386,2017,2017txho,2017txho_sf2m1,sf2m1,195,260,0,1,0.0413479052823315,0.0483912483912483,1.0,0.5320724980299448,0.9555555555555554,0.788034188034188,0.5279464424723651,0.0199292831886853,0.0163524869407222,0.9949723479135244,0.628404553310686,0.8137254901960785,0.8582202111613876,0.2985136137593758
388,2017,2017onosh,2017onosh_qf2m2,qf2m2,264,305,0,1,0.1618303571428571,0.0645546921697549,0.9816849816849818,0.5829461866047231,0.75,0.6527093596059114,0.458341134618985,0.5879934210526315,0.0673860383175512,1.0,0.9130081300813008,0.7982456140350876,0.7976406533575319,0.3769055666689659
411,2019,2019vahay,2019vahay_f1m2,f1m2,71,72,0,1,0.6666666666666666,0.8304093567251463,0.7841269841269841,0.8252032520325203,0.4484848484848485,0.5925925925925926,0.0773414924358323,0.5833333333333334,0.7485380116959064,0.6666666666666666,0.9715447154471544,0.6242424242424243,0.6111111111111112,0.591364949855516
468,2019,2019qcmo,2019qcmo_sf1m2,sf1m2,74,84,0,1,0.3980294396961064,0.7284075573549259,0.5955353126405759,0.8436911487758946,0.3680555555555556,0.8272792022792023,0.5781113455677046,0.8432098765432099,0.756140350877193,0.8900584795321637,0.8512779122948615,0.5891269841269842,0.7619047619047618,0.4439100661045798
477,2019,2019mdowi,2019mdowi_f1m3,f1m3,79,74,1,0,0.560952380952381,0.8836633663366337,0.8056140350877193,0.9312714776632302,0.5291666666666667,0.8951647411210955,0.2758936755270391,0.911484593837535,0.8575238328786439,0.6980609418282548,0.7483536008000596,0.7035603715170279,0.7584013268843784,0.3330032094848645
498,2019,2019ncash,2019ncash_f1m3,f1m3,69,84,0,1,0.6124031007751938,0.900262467191601,0.6485314409619555,0.7857672349888807,0.4396135265700482,0.5783353733170133,0.630830884317393,0.8372093023255814,0.9107611548556428,0.8803469347526119,0.8228317272053373,0.5990338164251207,0.4436964504283966,0.6368153887256213
540,2019,2019mikk,2019mikk_f1m1,f1m1,65,70,0,1,0.8407407407407407,0.916078431372549,0.8222222222222221,0.7866666666666667,0.64,0.5626666666666668,0.2731952291274327,0.9017094017094016,0.8796380090497737,0.9384615384615383,0.8615384615384615,0.5846153846153846,0.4215384615384616,0.6965087643053746
542,2019,2019cthar,2019cthar_qf2m1,qf2m1,70,62,1,0,0.2128378378378378,0.8801652892561984,0.5203488372093023,0.9130434782608696,0.6041666666666666,0.7710526315789474,0.318490566037736,0.2779922779922779,0.8004722550177096,0.7142857142857143,0.9565217391304348,0.4166666666666667,0.6827067669172933,0.5479245283018869
562,2017,2017mndu2,2017mndu2_qf2m1,qf2m1,270,280,0,1,0.2048484848484848,0.0069264069264069,0.9766899766899768,0.5624696159455518,0.7070707070707071,0.5911949685534591,0.4628018897081551,0.0515555555555555,0.0203174603174603,0.9943019943019944,0.530837789661319,0.8055555555555557,0.6817610062893081,0.4095839404241542
567,2017,2017onnob,2017onnob_qf4m1,qf4m1,205,263,0,1,0.22,0.0475,0.9943019943019944,0.6220040007274051,0.7841269841269843,0.3367537313432835,0.701138606345833,0.2588235294117647,0.0651960784313725,1.0,0.7157665030005456,0.7907162865146059,0.2616878841088674,0.2823743737665101
585,2017,2017onnob,2017onnob_sf1m1,sf1m1,314,315,0,1,0.319607843137255,0.1024509803921568,1.0,0.6249318057828698,0.8591436574629853,0.7517010535557507,0.5765902535296799,0.6780701754385965,0.3875,0.9910031488978858,0.8466563298590176,0.9523809523809524,0.6875,0.7078216263293728
601,2019,2019mirc,2019mirc_qf1m2,qf1m2,9,178,0,1,0.473132372214941,0.6938775510204082,0.7422298260621615,0.9047619047619048,0.2630952380952381,0.2115384615384616,0.11004420057918,0.8447162759089365,0.792165599183143,0.8556220891550232,0.939571150097466,0.4515107212475635,0.7513682711051132,0.7031222656889476
604,2019,2019waahs,2019waahs_f1m2,f1m2,58,94,0,1,0.4264705882352941,0.726088726088726,0.4669939989088925,0.8600989653621234,0.4421468615017002,0.5562923666371942,0.5270180436847101,0.7647058823529411,0.7936507936507938,0.8486997635933805,0.9317738791423004,0.5839307048984468,0.6954022988505747,0.8329218106995883
607,2017,2017qcmo,2017qcmo_qf3m2,qf3m2,195,422,0,1,0.1336517512988101,0.0978260869565217,0.9928774928774928,0.5901422764227643,0.8105872622001655,0.6098696461824953,0.258461319681456,0.0286725801431683,0.4037267080745341,0.9572649572649572,0.7373838559814169,0.8429339477726575,0.5455573290768821,0.5359682268811959
618,2017,2017nyli,2017nyli_sf1m3,sf1m3,0,262,0,1,0.1976744186046511,0.0334821428571428,1.0,0.7880695443645084,0.7699275362318841,0.7260858955588092,0.2903474282035366,0.1223083548664944,0.0462962962962963,1.0,0.7263522515321076,0.9102254428341386,0.7611300905590803,0.5258559242142055
620,2017,2017milsu,2017milsu_qf3m3,qf3m3,247,399,0,1,0.1981859410430839,0.0866096866096866,1.0,0.7760563380281691,0.853623188405797,0.6703252032520326,0.1310524789794143,0.5034013605442177,0.035987404408457,1.0,0.9559207094418364,0.9347826086956522,0.6546854942233633,0.4983290351131524
625,2017,2017onwat,2017onwat_f1m1,f1m1,308,330,0,1,0.05359765051395,0.900972590627763,1.0,0.9063537221431958,0.8586171310629517,0.4997009569377991,0.3094517322569798,0.756791483113069,0.0185676392572944,0.9955015744489428,0.7650545282124229,0.9081527347781218,0.6294856459330144,0.6858765930410736
632,2017,2017wasno,2017wasno_qf4m2,qf4m2,283,335,0,1,0.2110721589249196,0.1785714285714285,0.993894993894994,0.6707399864222675,0.8424908424908425,0.4659863945578231,0.4055944055944054,0.2075664621676891,0.1764705882352941,1.0,0.8920437149741091,0.9125188536953244,0.8417366946778712,0.2019644630835447
637,2019,2019mibg,2019mibg_sf2m1,sf2m1,57,70,0,1,0.7585185185185185,0.8580108198085724,0.7087872185911402,0.8533333333333332,0.4055555555555555,0.5648148148148148,0.5333333333333335,0.9155555555555556,0.6743445692883895,0.8078431372549019,0.92,0.525,0.1805555555555555,0.5550617283950616
639,2019,2019mnsc,2019mnsc_f1m1,f1m1,80,82,0,1,0.6402116402116401,0.8920634920634921,0.6512852928782134,0.9285714285714284,0.6095238095238095,0.2666666666666666,0.5685131195335273,0.5044091710758377,0.8825396825396825,0.6744627054361567,0.9761904761904764,0.5777777777777778,0.3555555555555554,0.2691933916423711
643,2017,2017cama,2017cama_qf3m2,qf3m2,305,352,0,1,0.057471264367816,0.0866477272727272,0.9844599844599844,0.6963802787601415,0.6598240469208211,0.7510952902519169,0.5213561575535982,0.8031077054065561,0.3671875,0.988960113960114,0.7249475591151793,0.8615591397849464,0.8589984939759038,0.4632845825716026
654,2019,2019roe,2019roe_f1m1,f1m1,107,49,1,0,0.887618563685637,0.8020712090011043,0.9199195110142824,0.9410675381263616,0.4925359032501888,0.6802569589595567,0.2214039441772514,0.6914264597191426,0.8194759846653481,0.8906714200831849,0.8520499108734403,0.5088580886900215,0.6431227774912456,0.0853008441798674
661,2019,2019mitvc,2019mitvc_f1m1,f1m1,60,86,0,1,0.3892288861689106,0.8901782014090344,0.6821052631578949,0.9041444190185608,0.6264020707506471,0.7898269162839986,0.1970310391363024,0.7054263565891473,0.9238845144356956,0.8133333333333334,0.8942565754159957,0.6229508196721311,0.8225205070842655,0.734093067426401
662,2019,2019nyli,2019nyli_sf1m2,sf1m2,77,76,1,0,0.3838383838383838,0.7815689705453485,0.8861197646244378,0.8326023391812866,0.538047138047138,0.7091906721536351,0.2826825127334472,0.8242424242424242,0.8976377952755904,0.909657320872274,0.85,0.4945454545454546,0.2901234567901235,0.0700339558573858
667,2019,2019marea,2019marea_sf2m1,sf2m1,45,52,0,1,0.1130952380952381,0.6530025170801871,0.4823399558498895,0.9715447154471544,0.3060109289617486,0.7563710499490316,0.4687915006640105,0.2142857142857142,0.6404360415602112,0.7748344370860928,0.7894736842105264,0.368133448375036,0.5417672621921777,0.4111973159991611
676,2019,2019milan,2019milan_qf2m2,qf2m2,67,60,1,0,0.186096256684492,0.8036199095022624,0.4417457305502847,0.8362536503963286,0.4470588235294118,0.8847609219126246,0.4140624999999995,0.32,0.8738461538461538,0.4645161290322581,0.9252955082742318,0.3015873015873015,0.709551656920078,0.5546874999999996
678,2019,2019onto3,2019onto3_f1m2,f1m2,54,108,0,1,0.3636363636363637,0.7975077881619939,0.5621468926553672,0.9019607843137254,0.4603174603174602,0.5308641975308641,0.3334230596680125,0.8560606060606061,0.9190031152647976,0.9689265536723164,0.9490196078431372,0.5343915343915344,0.5802469135802468,0.5622252131000448
686,2017,2017chcmp,2017chcmp_qf4m2,qf4m2,445,256,1,0,0.0353206745452131,0.0421422300263389,1.0,0.7538048967366698,0.8627450980392156,0.7013161428955144,0.2629275442534568,0.010910458991723,0.0895522388059701,1.0,0.7936648904677325,0.9264069264069263,0.5890410958904109,0.4167973514549574
701,2019,2019ncpem,2019ncpem_f1m2,f1m2,73,50,1,0,0.68,0.8946078431372548,0.6263157894736842,0.9517241379310344,0.406392694063927,0.5882352941176471,0.4558107167710508,0.3489473684210526,0.8793859649122808,0.5487534626038781,0.9112522686025408,0.5118961788031723,0.8106295149638804,0.7091638281507523
