,Unnamed: 0,Robot,Traditional_Scoring_High,Traditional_Scoring_Low,Technical_Scoring,Autonomous_Scoring,Endgame,Fouls,Defense,Competition,Year
21,21,frc5515,0.0,0.1852986217457886,1.0,0.7253061767838126,0.7692307692307693,0.9890776699029126,0.0249067816359821,2017abca,2017
22,22,frc5597,0.0,0.0149736259996596,0.9145299145299144,0.3847177848775293,0.4615384615384616,0.0,0.2155674667909576,2017abca,2017
23,23,frc5630,0.0186660029865604,0.0962590242835265,0.9633699633699634,0.6672752167959837,0.7252747252747254,0.6536061026352288,0.2618021107300993,2017abca,2017
24,24,frc5725,0.0077429345722028,0.0,0.9715099715099714,0.4224352147674832,0.7692307692307693,0.1456310679611649,0.2770915870426474,2017abca,2017
25,25,frc5883,0.0387146728610143,0.0,1.0,0.5431309904153355,0.5128205128205129,0.4126213592233009,0.6026567233745049,2017abca,2017
26,26,frc5897,0.003733200597312,0.0,1.0,0.8757987220447285,0.8901098901098903,0.466366158113731,0.176107800379532,2017abca,2017
27,27,frc6008,0.0015837820715869,1.0,0.9766899766899768,0.7122422306128376,0.7552447552447552,0.8451015004413062,0.5453274295036126,2017abca,2017
28,28,frc6041,0.0445218737901664,0.1478645567466394,0.9715099715099714,0.4873091941782038,0.358974358974359,0.6553398058252428,0.4283383826613842,2017abca,2017
29,29,frc6169,0.0619434765776229,0.0018717032499574,0.9715099715099714,0.7377529286474974,0.5128205128205129,0.8009708737864077,0.8436261943602892,2017abca,2017
30,30,frc6178,0.1916376306620209,0.0,0.9715099715099714,0.3922612708555201,0.2564102564102564,0.6553398058252428,0.5154975530179444,2017abca,2017
31,31,frc6188,0.0019357336430507,0.2994725199931938,0.9715099715099714,0.460152644657437,0.5641025641025642,0.5825242718446602,0.7295502213936147,2017abca,2017
32,32,frc6351,0.0019357336430507,0.0580228007486813,0.9715099715099714,0.4420482783102592,0.5128205128205129,0.3640776699029125,0.4719179678396645,2017abca,2017
33,33,frc6364,0.0019357336430507,0.0,0.9715099715099714,0.6276180333688322,0.4102564102564103,0.7524271844660193,0.2988813796317875,2017abca,2017
34,34,frc6390,0.0015837820715869,0.119448698315467,1.0,0.6924920127795527,0.6293706293706295,0.7855251544571933,0.1237473782335121,2017abca,2017
35,35,frc6403,0.0019357336430507,0.0056151097498723,1.0,0.6411963081292155,0.5128205128205129,0.970873786407767,0.6116289909112098,2017abca,2017
36,36,frc6406,0.0,0.0,0.9816849816849816,0.6439981743496122,0.9230769230769232,0.7784327323162276,0.3474964210806672,2017abca,2017
